id,writer,,title,dateline,day,period,place
001-000,annabella-howe,,"Miss Anna Howe, to Miss Clarissa Harlowe",Jan. 10,1747-01-10,,
002-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Harlowe-Place, Jan. 13",1747-01-13,,Harlowe-Place
003-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Jan. 13, 14",1747-01-13,,
004-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-01-15,,
005-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-01-20,,
006-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Harlowe-Place, Jan. 20",1747-01-20,,Harlowe-Place
007-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Harlowe-Place, Feb. 20",1747-02-20,,Harlowe-Place
008-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-02-24,,
009-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Feb. 26, in the Morning",1747-02-26,morning,
010-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe",,1747-02-27,,
011-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-03-01,,
012-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Thursday Morning, March 2",1747-03-02,morning,
013-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Wednesday, March 1",1747-03-01,,
014-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Thursday Evening, March 2",1747-03-02,evening,
015-000,annabella-howe,,"Miss Howe, to Miss Clarissa Harlowe","Friday, March 3",1747-03-03,,
016-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Friday, March 3",1747-03-03,,
017-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",,1747-03-03,,
018-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Sat. Mar. 4,1747-03-04,,
019-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sat. March 4, 12 o’clock",1747-03-04,,
020-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Sat. Afternoon,1747-03-04,afternoon,
021-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe",Sat. Night,1747-03-04,night,
022-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Sunday Morning, March 5",1747-03-05,morning,
022-001,clarissa-harlowe,,,,1747-03-05,,
022-002,james-harlowe-jr,,,,1747-03-05,,
023-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Monday Morning, March 6",1747-03-06,morning,
024-000,clarissa-harlowe,,"Miss Clarissa Harlowe, to Miss Howe","Monday, Near 12 o’clock",1747-03-06,night,
024-001,james-harlowe-jr,,,"Monday, Mar. 6.",1747-03-06,,
