letter,person
001-000,clarissa-harlowe
002-000,annabella-howe
003-000,annabella-howe
004-000,annabella-howe
005-000,annabella-howe
006-000,annabella-howe
007-000,annabella-howe
008-000,annabella-howe
009-000,annabella-howe
010-000,clarissa-harlowe
011-000,annabella-howe
012-000,clarissa-harlowe
013-000,annabella-howe
014-000,annabella-howe
015-000,clarissa-harlowe
016-000,annabella-howe
017-000,annabella-howe
018-000,annabella-howe
019-000,annabella-howe
020-000,annabella-howe
021-000,annabella-howe
022-000,annabella-howe
022-001,james-harlowe-jr
022-002,clarissa-harlowe
023-000,annabella-howe
024-000,annabella-howe
024-001,clarissa-harlowe
024-002,james-harlowe-jr
025-000,annabella-howe
025-001,charlotte-harlowe
025-002,clarissa-harlowe
025-003,james-harlowe-sr
025-004,clarissa-harlowe
026-000,annabella-howe
027-000,clarissa-harlowe
028-000,annabella-howe
029-000,annabella-howe
029-001,james-harlowe-jr
029-002,clarissa-harlowe
029-003,arabella-harlowe
029-004,clarissa-harlowe
030-000,annabella-howe
031-000,john-belford
032-000,annabella-howe
032-001,john-harlowe
032-002,clarissa-harlowe
032-003,antony-harlowe
032-004,clarissa-harlowe
033-000,annabella-howe
033-001,roger-solmes
033-002,clarissa-harlowe
033-003,clarissa-harlowe
034-000,john-belford
035-000,john-belford
036-000,annabella-howe
037-000,clarissa-harlowe
038-000,annabella-howe
039-000,annabella-howe
040-000,annabella-howe
041-000,annabella-howe
041-001,clarissa-harlowe
041-002,clarissa-harlowe
042-000,annabella-howe
042-001,james-harlowe-jr
042-002,clarissa-harlowe
043-000,annabella-howe
044-000,annabella-howe
045-000,annabella-howe
046-000,clarissa-harlowe
047-000,clarissa-harlowe
048-000,clarissa-harlowe
049-000,clarissa-harlowe
050-000,annabella-howe
050-001,clarissa-harlowe
050-002,james-harlowe-jr
051-000,annabella-howe
051-001,clarissa-harlowe
051-002,clarissa-harlowe
051-003,james-harlowe-jr
052-000,annabella-howe
053-000,annabella-howe
053-001,james-harlowe-jr
054-000,annabella-howe
054-001,clarissa-harlowe
054-002,charlotte-harlowe
054-003,clarissa-harlowe
055-000,annabella-howe
056-000,clarissa-harlowe
057-000,annabella-howe
058-000,clarissa-harlowe
059-000,annabella-howe
059-001,clarissa-harlowe
059-002,roger-solmes
059-003,clarissa-harlowe
059-004,john-harlowe
060-000,annabella-howe
060-001,clarissa-harlowe
060-002,john-harlowe
061-000,annabella-howe
061-001,clarissa-harlowe
061-002,john-harlowe
062-000,annabella-howe
062-001,clarissa-harlowe
063-000,annabella-howe
063-001,john-harlowe
063-002,clarissa-harlowe
063-003,john-harlowe
063-004,clarissa-harlowe
064-000,annabella-howe
064-001,clarissa-harlowe
064-002,robert-lovelace
065-000,clarissa-harlowe
066-000,charles-hickman
067-000,charles-hickman
068-000,clarissa-harlowe
069-000,annabella-howe
070-000,clarissa-harlowe
071-000,annabella-howe
072-000,clarissa-harlowe
073-000,annabella-howe
074-000,clarissa-harlowe
075-000,annabella-howe
076-000,annabella-howe
077-000,annabella-howe
078-000,annabella-howe
079-000,annabella-howe
080-000,annabella-howe
081-000,clarissa-harlowe
082-000,annabella-howe
083-000,annabella-howe
084-000,annabella-howe
085-000,annabella-howe
086-000,annabella-howe
087-000,clarissa-harlowe
088-000,annabella-howe
089-000,annabella-howe
090-000,annabella-howe
090-001,clarissa-harlowe
091-000,annabella-howe
092-000,annabella-howe
093-000,clarissa-harlowe
094-000,annabella-howe
095-000,joseph-leman
096-000,robert-lovelace
097-000,john-belford
098-000,annabella-howe
099-000,john-belford
100-000,clarissa-harlowe
101-000,annabella-howe
102-000,arabella-harlowe
103-000,john-belford
104-000,john-belford
105-000,john-belford
106-000,john-belford
107-000,annabella-howe
108-000,john-belford
109-000,john-belford
110-000,john-belford
111-000,clarissa-harlowe
112-000,annabella-howe
113-000,annabella-howe
114-000,annabella-howe
115-000,john-belford
116-000,annabella-howe
117-000,john-belford
118-000,john-belford
119-000,clarissa-harlowe
120-000,annabella-howe
121-000,annabella-howe
122-000,annabella-howe
123-000,annabella-howe
124-000,annabella-howe
127-000,john-belford
128-000,clarissa-harlowe
129-000,annabella-howe
130-000,annabella-howe
130-001,robert-lovelace
131-000,john-belford
132-000,clarissa-harlowe
133-000,annabella-howe
136-000,clarissa-harlowe
137-000,annabella-howe
138-000,john-belford
139-000,robert-lovelace
140-000,joseph-leman
141-000,dorothy-hervey
142-000,clarissa-harlowe
143-000,robert-lovelace
144-000,clarissa-harlowe
145-000,annabella-howe
146-000,annabella-howe
147-000,clarissa-harlowe
148-000,clarissa-harlowe
149-000,annabella-howe
150-000,clarissa-harlowe
151-000,clarissa-harlowe
152-000,john-belford
153-000,john-belford
154-000,john-belford
155-000,annabella-howe
156-000,clarissa-harlowe
157-000,annabella-howe
158-000,annabella-howe
159-000,john-belford
160-000,annabella-howe
161-000,annabella-howe
162-000,annabella-howe
163-000,annabella-howe
164-000,clarissa-harlowe
165-000,annabella-howe
166-000,clarissa-harlowe
167-000,john-belford
168-000,john-belford
169-000,robert-lovelace
170-000,john-belford
172-000,robert-lovelace
173-000,annabella-howe
173-001,clarissa-harlowe
174-000,annabella-howe
175-000,john-belford
176-000,annabella-howe
177-000,clarissa-harlowe
178-000,annabella-howe
179-000,judith-norton
180-000,annabella-howe
181-000,judith-norton
182-000,judith-norton
183-000,clarissa-harlowe
184-000,annabella-howe
185-000,annabella-howe
186-000,annabella-howe
187-000,annabella-howe
188-000,clarissa-harlowe
189-000,robert-lovelace
190-000,john-belford
191-000,john-belford
192-000,robert-lovelace
193-000,john-belford
194-000,john-belford
195-000,annabella-howe
196-000,clarissa-harlowe
197-000,clarissa-harlowe
198-000,john-belford
199-000,john-belford
200-000,annabella-howe
201-000,john-belford
202-000,john-belford
202-001,robert-lovelace
203-000,john-belford
203-001,robert-lovelace
204-000,john-belford
205-000,john-belford
206-000,robert-lovelace
207-000,john-belford
208-000,john-belford
209-000,john-belford
210-000,john-belford
211-000,john-belford
212-000,annabella-howe
213-000,john-belford
214-000,john-belford
215-000,john-belford
216-000,john-belford
217-000,john-belford
218-000,john-belford
219-000,john-belford
220-000,john-belford
221-000,john-belford
222-000,robert-lovelace
223-000,john-belford
224-000,john-belford
225-000,john-belford
226-000,john-belford
226-001,robert-lovelace
227-000,john-belford
227-001,clarissa-harlowe
227-002,robert-lovelace
227-003,clarissa-harlowe
227-004,robert-lovelace
227-005,clarissa-harlowe
228-000,john-belford
229-000,john-belford
229-001,laetitia-beaumont
229-002,annabella-howe
230-000,annabella-howe
231-000,john-belford
231-001,robert-lovelace
231-002,annabella-howe
231-003,robert-lovelace
232-000,john-belford
233-000,john-belford
233-001,robert-lovelace
233-002,robert-lovelace
233-003,robert-lovelace
233-004,robert-lovelace
234-000,john-belford
235-000,john-belford
238-001,clarissa-harlowe
239-001,clarissa-harlowe
240-000,john-belford
241-000,john-belford
242-000,john-belford
243-000,john-belford
245-000,john-belford
246-000,john-belford
247-000,john-belford
248-000,john-belford
249-000,john-belford
250-000,john-belford
252-000,john-belford
252-001,harriot-lucas
253-000,john-belford
254-000,john-belford
255-000,john-belford
256-000,john-belford
256-001,robert-lovelace
257-000,john-belford
258-000,robert-lovelace
259-000,john-belford
260-000,john-belford
261-000,john-belford
261-001,annabella-howe
261-002,james-harlowe-sr
261-005,arabella-harlowe
261-011,robert-lovelace
262-000,john-belford
