"id","date","from","to"
"001.00","1747-01-10","annabella-howe","clarissa-harlowe"
"002.00","1747-01-13","clarissa-harlowe","annabella-howe"
"003.00","1747-01-13","clarissa-harlowe","annabella-howe"
"004.00","1747-01-15","clarissa-harlowe","annabella-howe"
"005.00","1747-01-20","clarissa-harlowe","annabella-howe"
"006.00","1747-01-20","clarissa-harlowe","annabella-howe"
"007.00","1747-02-20","clarissa-harlowe","annabella-howe"
"008.00","1747-02-24","clarissa-harlowe","annabella-howe"
"009.00","1747-02-26","clarissa-harlowe","annabella-howe"
"010.00","1747-02-27","annabella-howe","clarissa-harlowe"
"011.00","1747-03-01","clarissa-harlowe","annabella-howe"
"012.00","1747-03-02","annabella-howe","clarissa-harlowe"
"013.00","1747-03-01","clarissa-harlowe","annabella-howe"
"014.00","1747-03-02","clarissa-harlowe","annabella-howe"
"015.00","1747-03-03","annabella-howe","clarissa-harlowe"
"016.00","1747-03-03","clarissa-harlowe","annabella-howe"
"017.00","1747-03-03","clarissa-harlowe","annabella-howe"
"018.00","1747-03-04","clarissa-harlowe","annabella-howe"
"019.00","1747-03-04","clarissa-harlowe","annabella-howe"
"020.00","1747-03-04","clarissa-harlowe","annabella-howe"
"021.00","1747-03-04","clarissa-harlowe","annabella-howe"
"022.00","1747-03-05","clarissa-harlowe","annabella-howe"
"022.01",,"clarissa-harlowe",
"022.02",,"james-hawlowe","clarissa-harlowe"
"023.00","1747-03-06","clarissa-harlowe","annabella-howe"
"024.00","1747-03-06","clarissa-harlowe","annabella-howe"
"024.01","1747-03-06","james-hawlowe",
"024.02",,,
"025.00","1747-03-07","clarissa-harlowe","annabella-howe"
"025.01",,"clarissa-harlowe",
"025.02",,,"clarissa-harlowe"
"025.03",,,
"025.04",,,
"026.00","1747-03-09","clarissa-harlowe","annabella-howe"
"027.00","1747-03-09","annabella-howe","clarissa-harlowe"
"028.00","1747-03-10","clarissa-harlowe","annabella-howe"
"029.00","1747-03-11","clarissa-harlowe","annabella-howe"
"029.01",,"clarissa-harlowe",
"029.02",,"james-hawlowe","clarissa-harlowe"
"029.03",,"clarissa-harlowe",
"029.04",,"arabella-harlowe","clarissa-harlowe"
"030.00","1747-03-12","clarissa-harlowe","annabella-howe"
"031.00","1747-03-13","robert-lovelace","john-belford"
"032.00","1747-03-14","clarissa-harlowe","annabella-howe"
"032.01","1747-03-11",,"john-harlowe"
"032.02","1747-03-12","john-harlowe",
"032.03",,"clarissa-harlowe","antony-harlowe"
"032.04",,"antony-harlowe",
"033.00","1747-03-16","clarissa-harlowe","annabella-howe"
"033.01","1747-03-15","clarissa-harlowe",
"033.02",,"roger-solmes",
"033.03","1747-03-16","james-hawlowe",
"034.00","1747-03-17","robert-lovelace","john-belford"
"035.00","1747-03-17","robert-lovelace","john-belford"
"036.00","1747-03-18","clarissa-harlowe","annabella-howe"
"037.00","1747-03-19","annabella-howe","clarissa-harlowe"
"038.00","1747-03-20","clarissa-harlowe","annabella-howe"
"039.00","1747-03-12","clarissa-harlowe","annabella-howe"
"040.00","1747-03-12","clarissa-harlowe","annabella-howe"
"041.00","1747-03-21","clarissa-harlowe","annabella-howe"
"041.01",,,
"041.02",,,
"042.00","1747-03-19","clarissa-harlowe","annabella-howe"
"042.01",,"clarissa-harlowe",
"042.02",,"james-hawlowe","clarissa-harlowe"
"043.00","1747-03-21","clarissa-harlowe","annabella-howe"
"044.00","1747-03-22","clarissa-harlowe","annabella-howe"
"045.00","1747-03-22","clarissa-harlowe","annabella-howe"
"046.00","1747-03-22","annabella-howe","clarissa-harlowe"
